A0A075B759	0.61	84.9	1.003271	0.00	164	0.00	5.00	0.56	0.00	0.00	0.00	1.314	 6.1	 2.4	 4.9	 5.5	 8.5	11.6	 2.4	 7.9	 9.8	 3.7	 2.4	 5.5	 3.0	 1.8	 5.5	 6.1	 6.1	 4.3	 0.6	 1.8
A0A087WVF3	34.61	0.081	1.447071	0.00	549	2	7.00	3.03	0.00	0.00	0.00	0.552	 6.7	 2.4	 5.5	 6.0	 3.1	 7.7	 2.7	 3.8	 5.6	 8.7	 2.2	 1.8	 8.6	 5.8	 8.6	 6.9	 4.2	 4.6	 2.7	 2.4
A0A087WXS9	35.15	0.081	1.452663	0.00	549	2	0.00	3.03	0.00	0.00	0.00	0.548	 6.7	 2.4	 5.5	 6.0	 3.1	 7.7	 2.7	 3.8	 5.6	 8.6	 2.4	 1.8	 8.6	 5.8	 8.6	 6.9	 4.2	 4.6	 2.7	 2.4
A0A087X179	35.34	0.081	1.464541	0.00	549	1	0.00	3.05	0.00	4.00	0.00	0.567	 6.7	 2.4	 5.5	 6.0	 3.1	 7.7	 2.7	 3.8	 6.0	 8.7	 2.2	 1.8	 8.6	 5.8	 8.2	 6.9	 4.2	 4.6	 2.7	 2.4
A0A087X1G2	35.70	0.088	1.466160	0.00	549	2	0.00	3.05	0.00	0.00	0.00	0.572	 6.7	 2.4	 5.5	 6.0	 3.1	 7.7	 2.7	 4.0	 6.0	 8.7	 2.2	 1.8	 8.6	 5.6	 8.4	 6.9	 4.0	 4.6	 2.7	 2.4
A0A0B4J2A2	0.61	63.375	0.769501	17.00	164	0.00	0.00	0.66	0.00	2.00	0.00	1.293	 5.5	 2.4	 5.5	 4.9	 8.5	11.6	 2.4	 7.9	 9.8	 3.7	 2.4	 5.5	 3.0	 1.8	 4.9	 6.1	 6.7	 4.9	 0.6	 1.8
A0AUZ9	79.94	0.244	1.839665	0.00	987	6	8.00	0.40	0.00	9.00	20.3647	0.474	 5.0	 1.9	 4.4	 7.5	 2.9	 3.3	 3.2	 3.9	 8.4	11.0	 1.9	 5.3	 4.9	 5.9	 4.7	12.0	 5.9	 4.2	 1.6	 2.2
A0AV02	24.65	0.145	-5.359707	1.00	714	3	4.00	0.91	0.00	3.00	19.4678	0.347	 6.7	 2.0	 2.7	 5.2	 5.9	 9.1	 1.4	 4.9	 2.7	13.6	 3.1	 2.5	 4.8	 5.2	 3.6	 9.1	 5.2	 7.7	 2.0	 2.8
A0AV96	21.75	6.82	0.201380	6.00	593	2	15.00	3.26	1.00	4.00	20.2361	0.766	14.3	 1.3	 3.7	 6.7	 2.7	 9.1	 1.7	 5.7	 4.9	 4.4	 3.0	 3.2	 7.8	 3.4	 5.7	 4.2	 4.0	 7.6	 0.5	 5.9
A0AVF1	4.51	0.741	-0.601287	24.00	554	0.00	4.00	-0.65	0.00	3.00	5.95668	0.401	 8.1	 2.0	 4.9	 8.1	 4.9	 5.1	 2.2	 5.1	 7.2	11.7	 2.9	 5.2	 2.3	 4.7	 5.2	 5.4	 3.1	 4.9	 1.1	 6.0
A0AVI4	2.76	0.102	-2.463284	9.00	362	0.00	3.00	0.30	0.00	2.00	4.97238	-1.429	11.0	 5.0	 3.3	 4.7	 4.1	 3.6	 2.8	 3.0	 1.9	11.9	 1.7	 1.9	 5.5	 4.7	 6.6	 6.6	 7.5	 8.6	 2.8	 2.8
A0AVK6	78.43	0.589	1.213166	6.00	867	3	30.00	1.88	0.00	5.00	21.1073	0.664	 6.8	 1.3	 3.2	 6.8	 3.0	 5.5	 2.3	 4.8	 7.4	 8.4	 1.8	 4.8	 9.1	 3.9	 4.5	12.0	 5.9	 6.5	 0.3	 1.5
A0AVT1	7.89	63.7	-0.615968	29.00	1052	2	24.00	0.38	0.00	1.00	6.36882	0.463	 6.8	 2.2	 5.6	 7.3	 5.1	 5.1	 2.9	 6.4	 7.2	 9.8	 1.7	 4.1	 5.3	 3.8	 3.4	 6.7	 6.7	 6.2	 1.1	 2.4
A0FGR8	25.41	19.3	0.233939	29.00	921	3	45.00	3.69	0.00	9.00	0.00	0.981	 6.0	 1.0	 5.1	 5.9	 3.4	 7.6	 2.5	 5.1	 5.6	12.5	 1.4	 3.7	 6.6	 4.5	 7.4	 8.3	 4.3	 6.4	 1.3	 1.5
A0FGR9	29.91	0.081	-0.859361	1.00	886	3	6.00	1.49	0.00	1.00	13.2054	0.436	 4.9	 2.4	 5.2	 6.4	 4.2	 6.0	 1.9	 3.8	 6.0	13.2	 1.2	 3.5	 7.2	 3.6	 6.9	 6.7	 6.1	 7.0	 1.7	 2.1
A0JLT2	50.82	3.61	3.325111	53.00	244	2	9.00	2.83	0.00	3.00	28.2787	1.034	 5.7	 1.2	 4.5	 4.5	 3.3	 9.0	 3.7	 2.5	12.3	 7.8	 2.5	 3.7	16.0	 2.9	 3.7	 9.0	 5.7	 0.8	 0.0	 1.2
